project_id,service_line,team,project_manager,overbudget_yes,budget,building_region,nda,total_hours,emp_count,month_duration
a7ca7912-2f52-e711-8100-e0071b66cf61,LEED,SB,82,1,41850.0,SF,False,297.25,189.0,30.095073820817674
fbcd7902-9dc8-e711-8113-e0071b6ad191,LEED,SB,82,1,46200.0,SF,False,439.25,380.0,32.19778640218485
253ed0bb-78d4-e711-8115-e0071b6ad191,LEED,SB,82,0,28713.4,SF,False,171.5,145.0,17.28166902811146
77f1c8fc-82d4-e711-8115-e0071b6ad191,LEED,SB,84,0,35560.0,SF,False,56.0,24.0,12.484855951867594
cb6c0ed3-2a8f-e711-810f-e0071b715b91,LEED,SB,82,1,32050.0,SF,False,258.5,184.0,15.178956446744285
16bb16ff-f318-e811-812f-e0071b7458a1,LEED,SB,82,1,50700.0,SF,False,389.75,196.0,28.386619848456846
e81e94b7-2444-45a3-8c31-5db10b4f0769,GPR,SB,73,1,30400.0,SF,False,220.75,161.0,41.65999301833713
09176ef7-767a-e411-957d-6c3be5a6aa7c,GPR,PM,37,1,2610.0,SF,False,24.5,21.0,48.95377728495452
147921d5-3e93-e311-bf57-6c3be5a6aa7c,GPR,SB,60,1,20200.0,SF,False,195.23000000000002,155.0,36.041807839996714
5074b5f2-f547-e411-a896-6c3be5a841e0,GPR,SB,73,1,21250.0,SF,False,160.5,122.0,69.75091891003922
4f9ef46f-3348-e411-a896-6c3be5a841e0,GPR,SB,73,1,21250.0,SF,False,141.25,127.0,64.42842768845357
9c213df4-bf95-e311-a9b6-6c3be5a8b8b0,GPR,SB,37,0,17104.0,SF,False,127.96,102.0,9.396496847984558
eaf0f03b-0d1c-e411-b762-6c3be5a8b8b0,NZE,SB,37,1,24500.0,SF,False,169.43,89.0,32.49348035893961
0d65dacb-eed9-e311-8efd-6c3be5a8ca30,GPR,SB,44,1,14454.0,SF,False,122.16,103.0,44.58407770180086
2a622a9f-1fda-e311-8efd-6c3be5a8ca30,GPR,SB,73,1,18341.0,SF,False,151.4,139.0,67.71391609683977
500867fc-78ba-e111-bad6-78e3b508f847,GPR,SB,50,1,13920.0,SF,False,137.25,84.0,41.725702786504854
28ba396b-191e-e211-8b05-78e3b51146cf,Commissioning,SB,51,1,10586.0,SF,False,73.75,65.0,22.965563974619602
965511e4-d982-e311-8b1b-78e3b51146cf,GPR,SB,73,1,33351.0,SF,False,251.25,193.0,56.05043224706873
3e9640ef-7936-e311-8b1c-78e3b51146cf,GPR,SB,73,1,20750.0,SF,False,180.0,151.0,62.095730918499356
900ccecb-917f-e211-8c15-78e3b511b601,GPR,SB,37,1,7305.0,SF,False,88.48,65.0,36.86317994209327
df11cb1f-967f-e211-8c15-78e3b511b601,GPR,SB,37,0,11165.0,SF,False,21.0,15.0,10.414998254584283
23943859-5416-e311-8cd4-78e3b511b601,GPR,SB,37,1,8500.0,SF,False,80.91,48.0,12.222016879196698
28d0de22-1605-e311-8db5-78e3b511b601,GPR,SB,73,0,22595.0,SF,False,166.41,125.0,56.97036900141687
67eb1b11-820e-e311-8db5-78e3b511b601,GPR,SB,37,0,18462.24,SF,False,108.75,66.0,16.296022505595598
5ea4424b-880e-e311-8db5-78e3b511b601,GPR,SB,58,1,10000.0,SF,False,98.91,59.0,17.117394607692148
5f947ff5-c0f3-e111-b721-78e3b511b601,GPR,SB,50,1,10825.0,SF,False,145.75,87.0,51.812152200250516
0f3217e7-9502-e611-810d-c4346bac0260,GPR,SB,50,0,24090.0,SF,False,127.25,75.0,20.008624407072013
